\,Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,2,26.97836,122.80648,-42.23762
1.59983E+15,1,-0.89651,0.23927,0.14112
1.59983E+15,2,25.51347,113.95611,-38.33125
1.59983E+15,1,-0.92434,0.24171,0.10254
1.59983E+15,2,24.65896,110.11078,-38.39228
1.59983E+15,1,-0.96487,0.25245,0.18213
1.59983E+15,2,24.10962,104.8616,-37.23258
1.59983E+15,1,-0.93802,0.27833,0.2168
1.59983E+15,2,25.81866,111.63671,-39.42991
1.59983E+15,1,-0.93997,0.28907,0.2129
1.59983E+15,2,27.34458,121.5247,-44.12976
1.59983E+15,1,-0.93118,0.2168,0.12696
1.59983E+15,2,28.13807,129.21537,-45.96088
1.59983E+15,1,-0.91946,0.20753,0.00049
1.59983E+15,2,29.1757,133.42692,-48.09717
1.59983E+15,1,-0.96048,0.19922,0.0083
1.59983E+15,2,30.09125,133.24381,-48.89065
1.59983E+15,1,-0.99271,0.18995,-0.08301
1.59983E+15,2,28.74844,128.72707,-47.60887
1.59983E+15,1,-0.95462,0.167,-0.05713
1.59983E+15,2,26.36799,124.57656,-46.63228
1.59983E+15,1,-0.90628,0.146,-0.00781
1.59983E+15,2,26.00177,124.88174,-45.89984
1.59983E+15,1,-0.92776,0.1543,-0.07373
1.59983E+15,2,27.95495,120.18189,-44.6791
1.59983E+15,1,-0.99515,0.14991,-0.06494
1.59983E+15,2,25.51347,121.21952,-43.76354
1.59983E+15,1,-0.93851,0.13965,-0.12305
1.59983E+15,2,26.12384,120.24293,-43.33628
1.59983E+15,1,-0.90677,0.12989,-0.04297
1.59983E+15,2,27.22251,120.30396,-42.90902
1.59983E+15,1,-0.94143,0.1626,0.03516
1.59983E+15,2,28.01599,123.90515,-42.97006
1.59983E+15,1,-0.94485,0.1504,-0.09278
1.59983E+15,2,28.32118,126.89596,-44.49599
1.59983E+15,1,-0.93118,0.11573,-0.18506
1.59983E+15,2,28.62636,129.33744,-44.49599
1.59983E+15,1,-0.91507,0.13672,-0.13623
1.59983E+15,2,28.56532,133.0607,-45.77776
1.59983E+15,1,-0.89407,0.13428,-0.10889
1.59983E+15,2,30.88473,133.85418,-46.14399
1.59983E+15,1,-0.90139,0.11914,-0.22217
1.59983E+15,2,31.67821,137.76055,-48.03613
1.59983E+15,1,-0.9346,0.08887,-0.23878
1.59983E+15,2,30.39644,142.58248,-49.37895
1.59983E+15,1,-0.91751,0.04346,-0.46876
1.59983E+15,2,28.80947,138.55403,-47.91406
1.59983E+15,1,-0.96438,0.0586,-0.42921
1.59983E+15,2,27.22251,123.35582,-43.39732
1.59983E+15,1,-1.01273,0.06983,-0.35841
1.59983E+15,2,27.77184,120.24293,-40.71169
1.59983E+15,1,-0.89407,0.03955,-0.45216
1.59983E+15,2,26.67318,120.24293,-41.50517
1.59983E+15,1,-0.88675,0.03565,-0.26417
1.59983E+15,2,27.71081,121.70782,-41.81036
